Wavenumber,Denoised
1388.33255,1917.0425407126263
1390.64445,1902.6519886400536
1392.95559,1883.8250543216493
1395.26599,1887.3127220529339
1397.57562,1883.0892955900374
1399.88451,1873.2531409970334
1402.19264,1865.247255132372
1404.50002,1855.2628286433232
1406.80665,1845.5975221510057
1409.11253,1846.3502929061544
1411.41765,1842.1195455508096
1413.72202,1835.3320658188713
1416.02565,1829.6776641483907
1418.32852,1824.688670137276
1420.63064,1822.3235549002704
1422.93202,1821.9720784635265
1425.23264,1820.4350468322743
1427.53252,1819.118399261173
1429.83165,1827.1697184144907
1432.13002,1829.8809614383547
1434.42765,1826.8055583131504
1436.72454,1831.6371375808847
1439.02067,1829.340300147083
1441.31606,1828.447970536099
1443.6107,1826.7209385681356
1445.9046,1830.4484228244287
1448.19775,1824.675197577616
1450.49016,1825.1567851323723
1452.78181,1828.0438764890248
1455.07273,1826.2042106537847
1457.3629,1817.2133557306074
1459.65232,1816.166063700532
1461.94101,1804.68243967961
1464.22894,1799.4677566818987
1466.51614,1785.9256138214869
1468.80259,1778.2432170186103
1471.0883,1769.7940317587215
1473.37327,1761.280499624037
1475.65749,1764.2563628342366
1477.94097,1762.5961902680385
1480.22372,1760.6582623765705
1482.50572,1765.4037502778453
1484.78698,1751.2118147466265
1487.0675,1749.6266855998463
1489.34728,1746.3221246158648
1491.62632,1753.2201677410692
1493.90462,1758.0259665903661
1496.18218,1764.3470452075612
1498.459,1771.2297955867703
1500.73509,1763.8084293657826
1503.01044,1761.0686282739227
1505.28505,1760.2861429126935
1507.55892,1760.2184699574796
1509.83205,1762.0726839882086
1512.10445,1766.870004047051
1514.37611,1763.4826574108956
1516.64704,1766.1214858711767
1518.91723,1777.1052065511374
1521.18668,1791.4023292480967
1523.4554,1794.3782438443702
1525.72339,1796.6728392382897
1527.99064,1799.777676397492
1530.25716,1793.7845991565637
1532.52294,1807.9748920856252
1534.78799,1823.05727193198
1537.05231,1847.1488299215187
1539.31589,1864.4056990061865
1541.57874,1889.0010131513318
1543.84086,1916.3514654985036
1546.10225,1932.5098455213863
1548.3629,1977.0134531447925
1550.62283,2045.5573631088319
1552.88202,2129.7472051127534
1555.14049,2255.115886328835
1557.39822,2482.4948458907807
1559.65522,2842.060947930658
1561.9115,3371.7471178848846
1564.16704,4037.324062415769
1566.42186,4776.561052997648
1568.67595,5512.19772545269
1570.92931,6188.246102677266
1573.18194,6760.37638301397
